"phenotype"	"Cell.Type"
"1"	"Immune cell aggregates"	"Oth"
"2"	"B cells"	"Lym"
"3"	"Granulocytes"	"Gra"
"4"	"CD11c+CD163+HLA-DR+ Macrophages"	"Mac"
"5"	"CD11c+HLA-DR+ Macrophages"	"Mac"
"6"	"CD163+ Macrophages"	"Mac"
"7"	"CD163+HLA-DR+ Macrophages"	"Mac"
"8"	"CD38+ Plasma B cells"	"Oth"
"9"	"CD39+ Stromal cells"	"Stro"
"10"	"CD39+ Vessels"	"Ves"
"11"	"CD4+ T cells"	"T"
"12"	"CD56- Innate lymphoid cells"	"Lym"
"13"	"CD56+ Tumour cells"	"Tum"
"14"	"CD57+ Tumour cells"	"Tum"
"15"	"CD8+ T cells"	"T"
"16"	"PDPN+ Stromal cells"	"Stro"
"17"	"Dendritic cells"	"Mo"
"18"	"HLA-DR+ Macrophages"	"Mac"
"19"	"HLA-DR+ Monocytes"	"Mo"
"20"	"Other immune cells"	"Oth"
"21"	"Monocytes"	"Mo"
"22"	"CD11b+PD-L1+ Granulocytes"	"Gra"
"23"	"Ki-67+ Stromal cells"	"Stro"
"24"	"Ki-67+ T cells"	"T"
"25"	"Stromal cells"	"Stro"
"26"	"T cells"	"T"
"27"	"Regulatory T cells"	"T"
"28"	"Tumour cells"	"Tum"
"29"	"Vessels"	"Ves"
