"phenotypes"
"1"	"CD39+ Stromal cells"
"2"	"PDPN+ Stromal cells"
"3"	"Ki-67+ Stromal cells"
"4"	"Stromal cells"
"5"	"CD39+ Vessels"
"6"	"Vessels"
"7"	"Immune cell aggregates"
"8"	"B cells"
"9"	"CD38+ Plasma B cells"
"10"	"CD56- Innate lymphoid cells"
"11"	"CD4+ T cells"
"12"	"CD8+ T cells"
"13"	"Ki-67+ T cells"
"14"	"Regulatory T cells"
"15"	"T cells"
"16"	"Dendritic cells"
"17"	"HLA-DR+ Monocytes"
"18"	"Monocytes"
"19"	"CD11c+CD163+HLA-DR+ Macrophages"
"20"	"CD11c+HLA-DR+ Macrophages"
"21"	"CD163+HLA-DR+ Macrophages"
"22"	"CD163+ Macrophages"
"23"	"HLA-DR+ Macrophages"
"24"	"Granulocytes"
"25"	"CD11b+PD-L1+ Granulocytes"
